Fish,Date,Age (dpf),Repeat number,Repeat_no,Induction_time,Lose_TR_time,RR_bpm,Age,SL,TT_movement,TT_Recovery,Recovery
1,15/07/2020,21,1,1,00:09,00:36,0,23,6,05:41,05:50,Y
2,15/07/2020,21,1,1,00:32,00:39,0,23,9,03:24,05:46,Y
3,15/07/2020,21,1,1,00:21,00:47,0,23,7.5,02:13,03:07,Y
4,15/07/2020,21,1,1,01:00,01:21,0,23,7,03:34,03:51,Y
5,15/07/2020,21,1,1,00:13,00:38,0,23,7,03:29,04:27,Y
6,15/07/2020,21,1,1,00:31,01:00,0,23,10,02:13,02:26,Y
7,15/07/2020,21,1,1,00:30,01:00,0,23,8.5,02:47,03:53,Y
8,15/07/2020,21,1,1,00:30,00:45,0,23,8,02:21,03:35,Y
9,15/07/2020,21,1,1,00:43,00:49,0,23,7,03:00,03:31,Y
10,15/07/2020,21,1,1,00:39,00:52,0,23,8,02:51,03:32,Y
1,15/07/2020,20/01/1900,1,2,01:00,01:05,0,25,7,00:51,01:24,Y
2,15/07/2020,20/01/1900,1,2,01:02,01:20,0,25,10,01:07,01:24,Y
3,15/07/2020,20/01/1900,1,2,00:34,00:36,0,25,8.5,01:11,01:44,Y
4,15/07/2020,20/01/1900,1,2,00:35,00:37,0,25,8,00:48,01:14,Y
5,15/07/2020,20/01/1900,1,2,00:35,01:00,0,25,7.5,01:07,01:17,Y
6,15/07/2020,20/01/1900,1,2,00:51,01:08,0,25,12,01:04,01:39,Y
7,15/07/2020,20/01/1900,1,2,00:45,01:05,0,25,9,00:51,01:43,Y
8,15/07/2020,20/01/1900,1,2,00:50,00:58,0,25,9,01:42,01:47,Y
9,15/07/2020,20/01/1900,1,2,00:50,00:55,0,25,7,01:15,01:25,Y
10,15/07/2020,20/01/1900,1,2,01:30,01:35,0,25,8.5,00:42,00:45,Y
1,15/07/2020,20/01/1900,1,3,00:12,00:28,0,27,7.5,02:13,02:20,Y
2,15/07/2020,20/01/1900,1,3,00:05,00:14,0,27,11,04:24,04:50,Y
3,15/07/2020,20/01/1900,1,3,00:11,00:28,0,27,9,03:24,03:35,Y
4,15/07/2020,20/01/1900,1,3,00:10,00:23,0,27,8,02:22,02:30,Y
5,15/07/2020,20/01/1900,1,3,00:12,00:22,0,27,8,02:45,02:51,Y
6,15/07/2020,20/01/1900,1,3,00:13,00:28,0,27,13,04:52,06:00,Y
7,15/07/2020,20/01/1900,1,3,00:10,00:27,0,27,10,01:47,02:21,Y
8,15/07/2020,20/01/1900,1,3,00:04,00:10,0,27,8,02:47,02:49,Y
9,15/07/2020,20/01/1900,1,3,00:05,00:20,0,27,7,02:00,02:19,Y
10,15/07/2020,20/01/1900,1,3,00:10,00:25,0,27,9.5,03:20,03:31,Y
1,,,,4,00:11,00:16,0,29,8,02:14,02:24,Y
2,,,,4,00:15,00:25,0,29,12,03:13,03:43,Y
3,,,,4,00:05,00:13,0,29,10,04:53,06:20,Y
4,,,,4,00:06,00:23,0,29,8.5,03:20,03:48,Y
5,,,,4,00:13,00:27,0,29,9,03:00,03:32,Y
6,,,,4,00:04,00:10,0,29,13,01:51,02:52,Y
7,,,,4,00:22,00:24,0,29,12,04:56,06:10,Y
